#GRM155R61A106ME11,,
#2025/02/24,,
#c_dcbias_capchange,,
#capchange  25.0degC  AC1Vrms,,
DC Bias[V],Cap. Change Rate[%],
0.0,0.0,
0.05,0.08937297405122724,
0.1,0.03819741069031046,
0.15000000000000002,-0.1469209300170915,
0.2,-0.45905264678253177,
0.25,-0.8910253957834069,
0.30000000000000004,-1.435499411525465,
0.35000000000000003,-2.085037432544312,
0.4,-2.832168755658271,
0.45,-3.6694472691463087,
0.5,-4.589503426937092,
0.55,-5.5850902225579535,
0.6000000000000001,-6.649123303488702,
0.65,-7.77471543428433,
0.7000000000000001,-8.955205571199109,
0.75,-10.184182853060076,
0.8,-11.455505843914127,
0.8500000000000001,-12.763317383685969,
0.9,-14.102055414937242,
0.9500000000000001,-15.466460157997908,
1.0,-16.851578004402857,
1.05,-18.252762490799523,
1.1,-19.665672703314296,
1.1500000000000001,-21.08626944670775,
1.2000000000000002,-22.51080949435236,
1.25,-23.935838214877315,
1.3,-25.35818084989925,
1.35,-26.77493269515654,
1.4000000000000001,-28.183448415067414,
1.4500000000000002,-29.581330698635178,
1.5,-30.96641844305146,
1.55,-32.3367746305562,
1.6,-33.69067404430047,
1.6500000000000001,-35.026590950267575,
1.7000000000000002,-36.34318685484037,
1.75,-37.639298431417934,
1.8,-38.91392569461022,
1.85,-40.16622048697557,
1.9000000000000001,-41.39547533099179,
1.9500000000000002,-42.60111268792739,
2.0,-43.78267465545241,
2.0500000000000003,-44.939813127137995,
2.1,-46.07228042936662,
2.15,-47.179920444543264,
2.2,-48.26266022377767,
2.25,-49.32050208733176,
2.3000000000000003,-50.35351620701016,
2.35,-51.36183366124796,
2.4000000000000004,-52.3456399508453,
2.45,-53.305168961045354,
2.5,-54.240697353889026,
2.5500000000000003,-55.15253937344695,
2.6,-56.04104204557119,
2.6500000000000004,-56.906580753177295,
2.7,-57.74955516771452,
2.75,-58.57038551736795,
2.8000000000000003,-59.36950917262285,
2.85,-60.1473775300746,
2.9000000000000004,-60.90445317575983,
2.95,-61.64120730978545,
3.0,-62.358117414623514,
3.0500000000000003,-63.055665150096885,
3.1,-63.73433445878863,
3.1500000000000004,-64.39460986635073,
3.2,-65.03697496195149,
3.25,-65.66191104487673,
3.3000000000000003,-66.26989592407557,
3.35,-66.86140285821264,
3.4000000000000004,-67.43689962454572,
3.45,-67.99684770568703,
3.5,-68.5417015840265,
3.5500000000000003,-69.07190813428565,
3.6,-69.58790610533856,
3.6500000000000004,-70.0901256830723,
3.7,-70.57898812666478,
3.75,-71.0549054712359,
3.8000000000000003,-71.51828029036922,
3.85,-71.96950551251904,
3.9000000000000004,-72.4089642857969,
3.95,-72.83702988608918,
4.0,-73.25406566387794,
4.05,-73.66042502553637,
4.1000000000000005,-74.05645144523805,
4.15,-74.44247850396262,
4.2,-74.81882995240014,
4.25,-75.18581979484954,
4.3,-75.54375239148182,
4.3500000000000005,-75.89292257658794,
4.4,-76.23361579066585,
4.45,-76.56610822441098,
4.5,-76.89066697287322,
4.55,-77.20755019822143,
4.6000000000000005,-77.51700729971893,
4.65,-77.81927908966628,
4.7,-78.11459797420032,
4.75,-78.40318813796503,
4.800000000000001,-78.68526573178066,
4.8500000000000005,-78.9610390625399,
4.9,-79.23070878465167,
4.95,-79.49446809243645,
5.0,-79.75250291295062,
5.050000000000001,-80.00499209878558,
5.1000000000000005,-80.25210762044537,
5.15,-80.49401475796196,
5.2,-80.73087229145386,
5.25,-80.96283269037438,
5.300000000000001,-81.19004230123723,
5.3500000000000005,-81.41264153363433,
5.4,-81.63076504439447,
5.45,-81.84454191975405,
5.5,-82.05409585543325,
5.550000000000001,-82.25954533453023,
5.6000000000000005,-82.46100380316324,
5.65,-82.65857984380315,
5.7,-82.85237734625177,
5.75,-83.04249567623172,
5.800000000000001,-83.22902984156244,
5.8500000000000005,-83.41207065590335,
5.9,-83.59170490005351,
5.95,-83.76801548079979,
6.0,-83.94108158731326,
6.050000000000001,-84.11097884509353,
6.1000000000000005,-84.27777946746944,
6.15,-84.44155240466063,
6.2,-84.60236349041548,
6.25,-84.76027558623439,
6.300000000000001,-84.91534872319926,
6.3500000000000005,-85.06764024142417,
6.4,-85.21720492715014,
6.45,-85.3640951475066,
6.5,-85.50836098296813,
6.550000000000001,-85.65005035753171,
6.6000000000000005,-85.78920916665183,
6.65,-85.9258814029649,
6.7,-86.06010927984414,
6.75,-86.19193335282834,
6.800000000000001,-86.32139263896923,
6.8500000000000005,-86.4485247341512,
6.9,-86.57336592843703,
6.95,-86.69595131950045,
7.0,-86.8163149242097,
7.050000000000001,-86.93448978843293,
