#GRM155R61C225KE11,,
#2025/02/24,,
#c_dcbias_capchange,,
#capchange  25.0degC  AC1Vrms,,
DC Bias[V],Cap. Change Rate[%],
0.0,0.0,
0.08,-0.009456413957842358,
0.16,-0.0739475125630884,
0.24,-0.19188789739987833,
0.32,-0.36163503497597116,
0.4,-0.5814970678625575,
0.48,-0.849740385313491,
0.56,-1.1645969300406622,
0.64,-1.5242712212176879,
0.72,-1.926947077047425,
0.8,-2.3707940233414715,
0.88,-2.853973377511021,
0.96,-3.374644000146021,
1.04,-3.930967708958344,
1.12,-4.521114352277811,
1.2,-5.143266541515789,
1.28,-5.795624044049019,
1.36,-6.476407839827159,
1.44,-7.183863846674454,
1.52,-7.916266320742793,
1.6,-8.671920939886224,
1.68,-9.449167578871476,
1.76,-10.246382786323316,
1.84,-11.061981974134415,
1.92,-11.89442133075721,
2.0,-12.74219947034625,
2.08,-13.603858830145587,
2.16,-14.477986828823774,
2.24,-15.36321679866013,
2.32,-16.258228704587275,
2.4,-17.16174966310813,
2.48,-18.07255427403628,
2.56,-18.989464777868857,
2.64,-19.91135105139553,
2.72,-20.83713045388661,
2.8000000000000003,-21.765767535893854,
2.88,-22.696273622345263,
2.96,-23.627706281229543,
3.04,-24.5591686887496,
3.12,-25.489808901386034,
3.2,-26.418819044854935,
3.2800000000000002,-27.34543442947388,
3.36,-28.268932600972185,
3.44,-29.18863233529748,
3.52,-30.10389258548658,
3.6,-31.014111388186226,
3.68,-31.918724736931814,
3.7600000000000002,-32.81720542882199,
3.84,-33.709061890766826,
3.92,-34.59383699103809,
4.0,-35.47110684141398,
4.08,-36.34047959478915,
4.16,-37.20159424271453,
4.24,-38.05411941694078,
4.32,-38.89775219866676,
4.4,-39.73221693883764,
4.48,-40.55726409249899,
4.5600000000000005,-41.372669069892844,
4.64,-42.17823110667809,
4.72,-42.973772155372735,
4.8,-43.75913579984694,
4.88,-44.53418619444521,
4.96,-45.298807029081736,
5.04,-46.05290052143436,
5.12,-46.79638643716135,
5.2,-47.529201138877085,
5.28,-48.25129666445053,
5.36,-48.96263983503275,
5.44,-49.663211393073404,
5.5200000000000005,-50.353005170454765,
5.6000000000000005,-51.03202728675168,
5.68,-51.70029537751661,
5.76,-52.357837852392144,
5.84,-53.00469318276442,
5.92,-53.6409092185946,
6.0,-54.266542533995036,
6.08,-54.8816578010572,
6.16,-55.4863271913854,
6.24,-56.08062980474459,
6.32,-56.66465112419249,
6.4,-57.23848249703296,
6.48,-57.80222064090157,
6.5600000000000005,-58.35596717427216,
6.640000000000001,-58.89982817065711,
6.72,-59.433913735761436,
6.8,-59.95833760684257,
6.88,-60.47321677352346,
6.96,-60.97867111930486,
7.04,-61.47482308302451,
7.12,-61.96179733951539,
7.2,-62.43972049872134,
7.28,-62.90872082253771,
7.36,-63.36892795865437,
7.44,-63.820472690691744,
7.5200000000000005,-64.26348670393293,
7.6000000000000005,-64.69810236596999,
7.68,-65.12445252159895,
7.76,-65.5426703013133,
7.84,-65.95288894276415,
7.92,-66.35524162457256,
8.0,-66.7498613118973,
8.08,-67.13688061318071,
8.16,-67.51643164751336,
8.24,-67.88864592207702,
8.32,-68.25365421914469,
8.4,-68.61158649213499,
8.48,-68.96257177023645,
8.56,-69.30673807113646,
8.64,-69.64421232140722,
8.72,-69.9751202841195,
8.8,-70.29958649327207,
8.88,-70.61773419464267,
8.96,-70.9296852926824,
9.040000000000001,-71.23556030309297,
9.120000000000001,-71.5354783107413,
9.200000000000001,-71.82955693258248,
9.28,-72.11791228527669,
9.36,-72.40065895720025,
9.44,-72.67790998456695,
9.52,-72.94977683138626,
9.6,-73.21636937300238,
9.68,-73.47779588296746,
9.76,-73.73416302301744,
9.84,-73.98557583592846,
9.92,-74.23213774104538,
10.0,-74.47395053228405,
10.08,-74.71111437841893,
10.16,-74.94372782547917,
10.24,-75.17188780108518,
10.32,-75.39568962056691,
10.4,-75.61522699471438,
10.48,-75.83059203901954,
10.56,-76.04187528427646,
10.64,-76.24916568841455,
10.72,-76.45255064944716,
10.8,-76.65211601942494,
10.88,-76.84794611929013,
10.96,-77.04012375453398,
11.040000000000001,-77.22873023156632,
11.120000000000001,-77.41384537471129,
11.200000000000001,-77.59554754374932,
11.28,-77.77391365193056,
11.36,-77.94901918439031,
11.44,-78.1209382169001,
11.52,-78.28974343489558,
11.6,-78.45550615272323,
11.68,-78.61829633305452,
11.76,-78.77818260641862,
11.84,-78.93523229080901,
11.92,-79.08951141132178,
12.0,-79.24108471978853,
12.08,-79.39001571436772,
12.16,-79.53636665906242,
12.24,-79.68019860313507,
12.32,-79.821571400392,
12.4,-79.96054372831331,
12.48,-80.09717310700593,
12.56,-80.23151591795919,
12.64,-80.36362742258568,
12.72,-80.49356178053047,
12.8,-80.62137206773507,
12.88,-80.74711029424235,
12.96,-80.87082742173301,
13.040000000000001,-80.99257338078232,
13.120000000000001,-81.11239708783071,
13.200000000000001,-81.23034646185945,
13.280000000000001,-81.34646844076778,
13.36,-81.46080899744604,
13.44,-81.57341315554083,
13.52,-81.6843250049123,
13.6,-81.79358771677894,
13.68,-81.90124355855218,
13.76,-82.00733390835975,
13.84,-82.11189926925933,
13.92,-82.21497928314396,
14.0,-82.31661274434265,
14.08,-82.41683761291813,
14.16,-82.51569102766612,
14.24,-82.61320931882072,
14.32,-82.70942802046956,
14.4,-82.80438188268451,
14.48,-82.89810488337392,
14.56,-82.99063023986115,
14.64,-83.08199042019682,
14.72,-83.17221715421059,
14.8,-83.26134144430961,
14.88,-83.34939357603048,
14.96,-83.43640312835235,
15.040000000000001,-83.52239898377827,
15.120000000000001,-83.60740933819213,
15.200000000000001,-83.69146171050028,
15.280000000000001,-83.7745829520637,
15.36,-83.85679925593004,
15.44,-83.93813616587356,
15.52,-84.0186185852497,
15.6,-84.09827078567417,
15.68,-84.17711641553325,
15.76,-84.2551785083334,
15.84,-84.3324794908993,
15.92,-84.40904119142732,
16.0,-84.48488484740209,
