#GRM155R61E225ME15,,
#2025/02/24,,
#c_dcbias_capchange,,
#capchange  25.0degC  AC1Vrms,,
DC Bias[V],Cap. Change Rate[%],
0.0,0.0,
0.125,0.1136908342691978,
0.25,-0.033258314788198184,
0.375,-0.4244371512673095,
0.5,-1.0423426621244625,
0.625,-1.8687379205857058,
0.75,-2.884980275614235,
0.875,-4.072315750000099,
1.0,-5.412137909637604,
1.125,-6.886210707661034,
1.25,-8.476855841685227,
1.375,-10.16710599309565,
1.5,-11.940825954661506,
1.625,-13.782804112807924,
1.75,-15.678817053370043,
1.875,-17.615670226150502,
2.0,-19.58121765621105,
2.125,-21.564363650100184,
2.25,-23.555049333371926,
2.375,-25.54422669015658,
2.5,-27.52382257241145,
2.625,-29.486694919720236,
2.75,-31.426583191742463,
2.875,-33.33805477405781,
3.0,-35.21644888159891,
3.125,-37.05781925769271,
3.25,-38.85887675492564,
3.375,-40.616932689249964,
3.5,-42.329843682484395,
3.625,-43.995958551250546,
3.75,-45.61406766234578,
3.875,-47.18335505496588,
4.0,-48.70335352805514,
4.125,-50.173902805116356,
4.25,-51.595110817638414,
4.375,-52.96731809040087,
4.5,-54.29106516578444,
4.625,-55.5670629683833,
4.75,-56.796165984277934,
4.875,-57.97934810997908,
5.0,-59.117681013094845,
5.125,-60.212314839122996,
5.25,-61.26446109546143,
5.375,-62.27537754391592,
5.5,-63.24635493592212,
5.625,-64.17870542975965,
5.75,-65.07375253567234,
5.875,-65.93282244257355,
6.0,-66.7572365885275,
6.125,-67.54830534614933,
6.25,-68.30732270320988,
6.375,-69.03556182786663,
6.5,-69.73427141691528,
6.625,-70.40467273415265,
6.75,-71.04795725427142,
6.875,-71.66528483561424,
7.0,-72.25778235255666,
7.125,-72.82654272524671,
7.25,-73.37262429089131,
7.375,-73.89705046675307,
7.5,-74.4008096605118,
7.625,-74.8848553886714,
7.75,-75.3501065682781,
7.875,-75.79744795137744,
8.0,-76.22773067541017,
8.125,-76.64177290614751,
8.25,-77.04036055283075,
8.375,-77.42424803792761,
8.5,-77.79415910637748,
8.625,-78.15078766139591,
8.75,-78.49479861586354,
8.875,-78.82682875006404,
9.0,-79.14748756807542,
9.125,-79.4573581464813,
9.25,-79.75699797026957,
9.375,-80.04693975184027,
9.5,-80.3276922299698,
9.625,-80.59974094638626,
9.75,-80.86354899831143,
9.875,-81.11955776593241,
10.0,-81.36818761428893,
10.125,-81.60983856950637,
10.25,-81.84489096968389,
10.375,-82.07370609106155,
10.5,-82.29662675035144,
10.625,-82.51397788432826,
10.75,-82.72606710794179,
10.875,-82.93318525233857,
11.0,-83.13560688427152,
11.125,-83.3335908084311,
11.25,-83.52738055426244,
11.375,-83.71720484883441,
11.5,-83.9032780773037,
11.625,-84.08580073247887,
11.75,-84.26495985492596,
11.875,-84.44092946498584,
12.0,-84.61387098798048,
12.125,-84.78393367378852,
12.25,-84.95125501185898,
12.375,-85.11596114261518,
12.5,-85.2781672660787,
12.625,-85.43797804841655,
12.75,-85.59548802698673,
12.875,-85.75078201432936,
13.0,-85.90393550142107,
13.125,-86.05501506038975,
13.25,-86.20407874676252,
13.375,-86.35117650120891,
13.5,-86.49635055063109,
13.625,-86.63963580835383,
13.75,-86.7810602730767,
13.875,-86.92064542616953,
14.0,-87.05840662682142,
14.125,-87.19435350449403,
14.25,-87.32849034808233,
14.375,-87.46081649115165,
14.5,-87.59132669259073,
14.625,-87.72001151201621,
14.75,-87.84685767925686,
14.875,-87.97184845726369,
15.0,-88.09496399781071,
15.125,-88.21618168939021,
15.25,-88.33547649674638,
15.375,-88.45282129155065,
15.5,-88.56818717378181,
15.625,-88.6815437834503,
15.75,-88.79285960238222,
15.875,-88.90210224586635,
16.0,-89.00923874406233,
16.125,-89.11423581316058,
16.25,-89.21706011639071,
16.375,-89.3176785150767,
16.5,-89.41605831004378,
16.625,-89.51216747379517,
16.75,-89.60597487397656,
16.875,-89.6974504887666,
17.0,-89.78656561493128,
17.125,-89.8732930693898,
17.25,-89.95760738524629,
17.375,-90.03948500334047,
17.5,-90.1189044604715,
17.625,-90.19584657554232,
17.75,-90.27029463496386,
17.875,-90.34223457874016,
18.0,-90.41165518874145,
18.125,-90.47854828073442,
18.25,-90.54290890181619,
18.375,-90.60473553494447,
18.5,-90.66403031231165,
18.625,-90.72079923934282,
18.75,-90.77505243112319,
18.875,-90.8268043630727,
19.0,-90.8760741376756,
19.125,-90.92288576905415,
19.25,-90.96726848712524,
19.375,-91.00925706300988,
19.5,-91.0488921572727,
19.625,-91.08622069242804,
19.75,-91.12129625099425,
19.875,-91.15417950015502,
20.0,-91.18493864384034,
20.125,-91.21364990272073,
20.25,-91.24039802223135,
20.375,-91.26527680830895,
20.5,-91.28838968999162,
20.625,-91.30985030742671,
20.75,-91.32978312313679,
20.875,-91.34832405357116,
21.0,-91.3656211170622,
21.125,-91.38183509325303,
21.25,-91.3971401878943,
21.375,-91.41172469559302,
21.5,-91.42579165163812,
21.625,-91.4395594624334,
21.75,-91.45326250232053,
21.875,-91.46715166267263,
22.0,-91.4814948371374,
22.125,-91.49657732474941,
22.25,-91.51270213039697,
22.375,-91.53019013983203,
22.5,-91.54938014407234,
22.625,-91.57062868574731,
22.75,-91.59430969772666,
22.875,-91.6208139023378,
23.0,-91.65054793770602,
23.125,-91.68393317636294,
23.25,-91.72140420039756,
23.375,-91.76340689720058,
23.5,-91.81039614046524,
23.625,-91.86283302271227,
23.75,-91.92118160840833,
23.875,-91.9859051809457,
24.0,-92.05746196254367,
24.125,-92.13630029369743,
24.25,-92.2228532683693,
24.375,-92.31753283274567,
24.5,-92.42072336929893,
24.625,-92.53277480401356,
24.75,-92.65399529302087,
24.875,-92.78464356537886,
25.0,-92.92492102099955,
