#GRM155R61H474ME11,,
#2025/02/24,,
#c_dcbias_capchange,,
#capchange  25.0degC  AC1Vrms,,
DC Bias[V],Cap. Change Rate[%],
0.0,0.0,
0.25,-0.1307623276429415,
0.5,-0.5842290060560362,
0.75,-1.3345292734162184,
1.0,-2.3544753455864598,
1.25,-3.61619842227231,
1.5,-5.091711778018537,
1.75,-6.753396485114482,
2.0,-8.57440877502469,
2.25,-10.529010857056054,
2.5,-12.592829188330102,
2.75,-14.743045769064889,
3.0,-16.958529083558773,
3.25,-19.21991189384473,
3.5,-21.50962329824042,
3.75,-23.811882368714155,
4.0,-26.112660352189977,
4.25,-28.399617927404307,
4.5,-30.662023407719886,
4.75,-32.89065711908684,
5.0,-35.07770649957821,
5.25,-37.2166557924311,
5.5,-39.30217356033745,
5.75,-41.330000650160024,
6.0,-43.29684069396864,
6.25,-45.200254749400294,
6.5,-47.03856126136906,
6.75,-48.810742166926126,
7.0,-50.51635566251308,
7.25,-52.1554559035998,
7.5,-53.72851970561903,
7.75,-55.236380156717324,
8.0,-56.68016693159896,
8.25,-58.06125300627589,
8.5,-59.38120741081641,
8.75,-60.64175361658754,
9.0,-61.84473313186736,
9.25,-62.99207387141463,
9.5,-64.08576286846186,
9.75,-65.1278229089435,
10.0,-66.12029268532379,
10.25,-67.06521008926462,
10.5,-67.96459828705166,
10.75,-68.82045424794805,
11.0,-69.63473942250724,
11.25,-70.40937229461119,
11.5,-71.1462225570478,
11.75,-71.84710668540777,
12.0,-72.51378470868367,
12.25,-73.14795799702237,
12.5,-73.75126790751894,
12.75,-74.32529514771107,
13.0,-74.87155973355328,
13.25,-75.39152143416261,
13.5,-75.8865806096108,
13.75,-76.35807936057273,
14.0,-76.80730291983254,
14.25,-77.23548122559659,
14.5,-77.64379062537485,
14.75,-78.03335566696806,
15.0,-78.40525093994587,
15.25,-78.76050293700553,
15.5,-79.10009190985983,
15.75,-79.42495369889532,
16.0,-79.73598151984368,
16.25,-80.03402769418982,
16.5,-80.31990531306307,
16.75,-80.5943898269781,
17.0,-80.85822055605686,
17.25,-81.1121021173237,
17.5,-81.3567057673483,
17.75,-81.59267065996616,
18.0,-81.82060502004477,
18.25,-82.04108723532528,
18.5,-82.2546668692681,
18.75,-82.46186559858512,
19.0,-82.66317807977074,
19.25,-82.85907274945717,
19.5,-83.04999256382756,
19.75,-83.2363556826376,
20.0,-83.41855610362161,
20.25,-83.59696425320855,
20.5,-83.771927539541,
20.75,-83.94377087379544,
