#GRM188C61E226ME01,,
#2025/02/24,,
#c_dcbias_capchange,,
#capchange  25.0degC  AC0.5Vrms,,
DC Bias[V],Cap. Change Rate[%],
0.0,0.0,
0.125,-0.13877685612474489,
0.25,-0.5875450507606517,
0.375,-1.32236527564491,
0.5,-2.3180276930637844,
0.625,-3.548621110358363,
0.75,-4.988040892413892,
0.875,-6.610431248279536,
1.0,-8.390560435924588,
1.125,-10.30412983294421,
1.25,-12.328019721126338,
1.375,-14.440476054410533,
1.5,-16.621243465590375,
1.625,-18.851650370687565,
1.75,-21.11465231016173,
1.875,-23.39483968288134,
2.0,-25.678415839605094,
2.125,-27.95315116052598,
2.25,-30.20831829309083,
2.375,-32.434613211940835,
2.5,-34.624066215616246,
2.625,-36.76994642113651,
2.75,-38.866662778044244,
2.875,-40.909664112839195,
3.0,-42.895340243067224,
3.125,-44.820925773879615,
3.25,-46.68440781167792,
3.375,-48.48443850007966,
3.5,-50.22025300159112,
3.625,-51.89159331145083,
3.75,-53.49863809462816,
3.875,-55.041938578925475,
4.0,-56.52236041231,
4.125,-57.94103129674202,
4.25,-59.29929413976183,
4.375,-60.59866541508465,
4.5,-61.84079839088732,
4.625,-63.02745086616082,
4.75,-64.1604570486285,
4.875,-65.24170320983185,
5.0,-66.27310676196042,
5.125,-67.2565984150647,
5.25,-68.19410709095996,
5.375,-69.0875472901821,
5.5,-69.9388086298111,
5.625,-70.7497472920484,
5.75,-71.52217914551362,
5.875,-72.25787432285028,
6.0,-72.9585530590559,
6.125,-73.62588261474372,
6.25,-74.26147512713632,
6.375,-74.86688624889658,
6.5,-75.44361445087165,
6.625,-75.99310087946365,
6.75,-76.51672967266603,
6.875,-77.01582865087084,
7.0,-77.49167030942277,
7.125,-77.94547304963845,
7.25,-78.37840259371278,
7.375,-78.79157353667013,
7.5,-79.1860509953757,
7.625,-79.56285232067853,
7.75,-79.92294884408962,
7.875,-80.2672676350778,
8.0,-80.59669324916594,
8.125,-80.91206945058642,
8.25,-81.21420089637095,
8.375,-81.5038547714584,
8.5,-81.78176236675093,
8.625,-82.04862059407682,
8.75,-82.30509343377088,
8.875,-82.55181331208752,
9.0,-82.78938240695335,
9.125,-83.01837388167098,
9.25,-83.23933304712452,
9.375,-83.45277845383305,
9.5,-83.6592029158696,
9.625,-83.85907446921898,
9.75,-84.05283726761206,
9.875,-84.24091241924434,
10.0,-84.42369876808631,
10.125,-84.60157362371868,
10.25,-84.77489344379119,
10.375,-84.94399447331269,
10.5,-85.10919334503753,
10.625,-85.27078764522288,
10.75,-85.42905644899956,
10.875,-85.58426082952559,
11.0,-85.73664434498265,
11.125,-85.88643350733162,
11.25,-86.0338382365705,
11.375,-86.17905230403356,
11.5,-86.32225376804512,
11.625,-86.46360540498821,
11.75,-86.603255138581,
11.875,-86.74133646986377,
12.0,-86.87796891010308,
12.125,-87.01325841850536,
12.25,-87.14729784631596,
12.375,-87.28016738856157,
12.5,-87.41193504436708,
12.625,-87.5426570864662,
12.75,-87.6723785402109,
12.875,-87.80113367208479,
13.0,-87.92894648743892,
13.125,-88.05583123689607,
13.25,-88.18179293062009,
13.375,-88.3068278594143,
13.5,-88.4309241214072,
13.625,-88.55406215290756,
13.75,-88.67621526185208,
13.875,-88.79735016214997,
14.0,-88.91742750713286,
14.125,-89.03640242025436,
14.25,-89.15422502114944,
14.375,-89.27084094516005,
14.5,-89.38619185445702,
14.625,-89.50021593894122,
14.75,-89.61284840518782,
14.875,-89.72402195179761,
15.0,-89.83366722965218,
15.125,-89.94171328571026,
15.25,-90.04808798916018,
15.375,-90.15271843891313,
15.5,-90.25553135163138,
15.625,-90.356453429687,
15.75,-90.45541170866775,
15.875,-90.55233388426849,
16.0,-90.64714861864041,
16.125,-90.73978582649778,
16.25,-90.83017694151539,
16.375,-90.91825516378526,
16.5,-91.00395568932194,
16.625,-91.08721592283956,
16.75,-91.16797567523616,
16.875,-91.24617734744042,
17.0,-91.32176610247843,
17.125,-91.39469002782275,
17.25,-91.46490029027738,
17.375,-91.53235128583704,
17.5,-91.59700078713959,
17.625,-91.65881009129664,
17.75,-91.71774417105695,
17.875,-91.77377183240307,
18.0,-91.8268658818354,
18.125,-91.87700330673373,
18.25,-91.92416547230943,
18.375,-91.9683383387899,
18.5,-92.00951270256738,
18.625,-92.04768446515,
18.75,-92.08285493380843,
18.875,-92.11503115788143,
19.0,-92.14422630470084,
19.125,-92.17046007911664,
19.25,-92.1937591905284,
19.375,-92.21415787123959,
19.5,-92.23169844979412,
19.625,-92.24643198271566,
19.75,-92.25841894775787,
19.875,-92.26773000134519,
20.0,-92.27444680235092,
20.125,-92.27866290365971,
20.25,-92.28048471212405,
20.375,-92.2800325164759,
20.5,-92.27744158149076,
20.625,-92.27286330520947,
20.75,-92.26646643421839,
20.875,-92.25843832991903,
21.0,-92.24898627626888,
21.125,-92.23833881669744,
21.25,-92.22674710468716,
21.375,-92.21448624893512,
21.5,-92.20185662995067,
21.625,-92.1891851605077,
21.75,-92.1768264574698,
21.875,-92.16516388725431,
22.0,-92.15461044156518,
22.125,-92.14560939417954,
22.25,-92.13863468350972,
22.375,-92.13419095965378,
22.5,-92.13281322879425,
22.625,-92.13506602238245,
22.75,-92.14154201386025,
22.875,-92.15286000204965,
23.0,-92.16966217824131,
23.125,-92.19261059383537,
23.25,-92.22238274775518,
23.375,-92.25966621825778,
23.5,-92.30515227284873,
23.625,-92.35952840342048,
23.75,-92.42346975196234,
23.875,-92.49762941594636,
24.0,-92.5826276520333,
24.125,-92.67904003248248,
24.25,-92.78738465059277,
24.375,-92.90810851936891,
24.5,-93.04157336088065,
24.625,-93.18804104130123,
24.75,-93.34765896689503,
24.875,-93.52044581704848,
25.0,-93.70627804917426,
