#GRM188R61E106KA73,,
#2025/02/24,,
#c_dcbias_capchange,,
#capchange  25.0degC  AC1Vrms,,
DC Bias[V],Cap. Change Rate[%],
0.0,0.0,
0.125,0.19414576758562951,
0.25,0.13783858217848444,
0.375,-0.15423920448693895,
0.5,-0.6663271175952001,
0.625,-1.3819057931082623,
0.75,-2.2839914081571266,
0.875,-3.3554022853718,
1.0,-4.578995852740963,
1.125,-5.937875193146014,
1.25,-7.415565309817662,
1.375,-8.996159965061779,
1.5,-10.664440525622398,
1.625,-12.405968679704781,
1.75,-14.207155191941334,
1.875,-16.05530704935244,
2.0,-17.9386554403682,
2.125,-19.8463670169306,
2.25,-21.7685408325733,
2.375,-23.696193241984332,
2.5,-25.62123290321715,
2.625,-27.536427854094615,
2.75,-29.435366449408306,
2.875,-31.3124137535307,
3.0,-33.16266479071809,
3.125,-34.98189586791981,
3.25,-36.76651500625493,
3.375,-38.513512350269984,
3.5,-40.220411270492015,
3.625,-41.885220735680264,
3.75,-43.50638940695969,
3.875,-45.08276179658388,
4.0,-46.613536738935366,
4.125,-48.098228339765704,
4.25,-49.536629500647244,
4.375,-50.92877805808813,
4.5,-52.27492552962024,
4.625,-53.57550842127131,
4.75,-54.83112202106069,
4.875,-56.04249658044937,
5.0,-57.21047576902922,
5.125,-58.335997276235915,
5.25,-59.42007542667695,
5.375,-60.46378567203319,
5.5,-61.46825082175429,
5.625,-62.43462887634569,
5.75,-63.36410233043064,
5.875,-64.25786881753778,
6.0,-65.11713297434135,
6.125,-65.94309940856529,
6.25,-66.73696666169522,
6.375,-67.49992206481818,
6.5,-68.23313739316022,
6.625,-68.93776523208257,
6.75,-69.61493597432651,
6.875,-70.26575537508505,
7.0,-70.89130259797133,
7.125,-71.4926286911081,
7.25,-72.07075543835448,
7.375,-72.62667453610496,
7.5,-73.16134705113116,
7.625,-73.67570311960053,
7.75,-74.17064185169711,
7.875,-74.64703141021032,
8.0,-75.1057092350548,
8.125,-75.54748238896528,
8.25,-75.97312800258426,
8.375,-76.38339379985601,
8.5,-76.77899868707198,
8.625,-77.16063339110157,
8.75,-77.52896113430862,
8.875,-77.88461833541497,
9.0,-78.22821532714552,
9.125,-78.56033708289175,
9.25,-78.88154394587822,
9.375,-79.19237235542076,
9.5,-79.49333556584511,
9.625,-79.78492435449391,
9.75,-80.06760771601007,
9.875,-80.34183354074618,
10.0,-80.60802927572736,
10.125,-80.86660256709844,
10.25,-81.1179418834156,
10.375,-81.36241711951551,
10.5,-81.60038018100839,
10.625,-81.83216554970384,
10.75,-82.05809083049994,
10.875,-82.27845728044055,
11.0,-82.49355032078999,
11.125,-82.70364003308025,
11.25,-82.90898164016555,
11.375,-83.10981597337268,
11.5,-83.30636992686121,
11.625,-83.49885690031907,
11.75,-83.68747723110451,
11.875,-83.87241861692246,
12.0,-84.05385653007649,
12.125,-84.2319546242889,
12.25,-84.40686513501417,
12.375,-84.5787292740987,
12.5,-84.74767761956011,
12.625,-84.91383050117393,
12.75,-85.07729838246551,
12.875,-85.23818223961352,
13.0,-85.39657393767935,
13.125,-85.55255660448114,
13.25,-85.70620500234254,
13.375,-85.85758589785625,
13.5,-86.00675842971542,
13.625,-86.153774474588,
13.75,-86.2986790109303,
13.875,-86.44151048056975,
14.0,-86.58230114782164,
14.125,-86.72107745585178,
14.25,-86.85786037994826,
14.375,-86.99266577732872,
14.5,-87.12550473307712,
14.625,-87.25638390178557,
14.75,-87.38530584446183,
14.875,-87.51226936026234,
15.0,-87.6372698126148,
15.125,-87.76029944930785,
15.25,-87.88134771614972,
15.375,-88.00040156382785,
15.5,-88.1174457476382,
15.625,-88.23246311980051,
15.75,-88.34543491412701,
15.875,-88.45634102286948,
16.0,-88.56516026563463,
16.125,-88.6718706503249,
16.25,-88.77644962613606,
16.375,-88.87887432871686,
16.5,-88.9791218176799,
16.625,-89.0771693067265,
16.75,-89.17299438674252,
16.875,-89.26657524229417,
17.0,-89.35789086204761,
17.125,-89.44692124371458,
17.25,-89.53364759421052,
17.375,-89.61805252579707,
17.5,-89.70012024905685,
17.625,-89.77983676362743,
17.75,-89.85719004769766,
17.875,-89.93217024733647,
18.0,-90.00476986679496,
18.125,-90.07498396097843,
18.25,-90.14281033134608,
18.375,-90.20824972653956,
18.5,-90.27130604908565,
18.625,-90.33198656954904,
18.75,-90.390302149537,
18.875,-90.44626747496164,
19.0,-90.49990130097345,
19.125,-90.55122670995566,
19.25,-90.6002713839402,
19.375,-90.64706789275488,
19.5,-90.69165399913364,
19.625,-90.73407298192804,
19.75,-90.7743739784303,
19.875,-90.81261234666151,
20.0,-90.84885004828188,
20.125,-90.88315605254907,
20.25,-90.91560676147137,
20.375,-90.94628645596869,
20.5,-90.97528776247202,
20.625,-91.00271213893994,
20.75,-91.02867037875704,
20.875,-91.05328313037634,
21.0,-91.07668142991045,
21.125,-91.09900724309355,
21.25,-91.12041401219905,
21.375,-91.14106720252411,
21.5,-91.16114484201371,
21.625,-91.18083804641066,
21.75,-91.20035152106452,
21.875,-91.21990402913931,
22.0,-91.23972881448813,
22.125,-91.26007396588214,
22.25,-91.28120270763047,
22.375,-91.30339359989968,
22.5,-91.32694063029024,
22.625,-91.35215317645005,
22.75,-91.37935581776952,
22.875,-91.40888797255145,
23.0,-91.44110333551691,
23.125,-91.47636908922183,
23.25,-91.51506486190395,
23.375,-91.55758140370114,
23.5,-91.60431895299506,
23.625,-91.65568526512921,
23.75,-91.71209327697588,
23.875,-91.77395838287745,
24.0,-91.84169530064406,
24.125,-91.91571451052813,
24.25,-91.99641825570562,
24.375,-92.08419609979525,
24.5,-92.17942004555408,
24.625,-92.28243922906458,
24.75,-92.39357421566801,
24.875,-92.5131109374551,
25.0,-92.64129432733,
