#GRM188R6YA106MA73,,
#2025/02/24,,
#c_dcbias_capchange,,
#capchange  25.0degC  AC1Vrms,,
DC Bias[V],Cap. Change Rate[%],
0.0,0.0,
0.175,-0.9352176256342437,
0.35,-2.138306112065702,
0.5249999999999999,-3.581125492288706,
0.7,-5.235428416649446,
0.875,-7.073336688357667,
1.0499999999999998,-9.067743535024208,
1.2249999999999999,-11.192642760963146,
1.4,-13.423388046166496,
1.575,-15.736887242480513,
1.75,-18.111737612225166,
1.9249999999999998,-20.528308618832646,
2.0999999999999996,-22.968779179110154,
2.275,-25.41713628998027,
2.4499999999999997,-27.859141714154955,
2.625,-30.28227300920254,
2.8,-32.675644666134886,
2.9749999999999996,-35.02991453257707,
3.15,-37.337180069497236,
3.3249999999999997,-39.590868359440776,
3.5,-41.785623171236665,
3.675,-43.91719180794008,
3.8499999999999996,-45.982313932660816,
4.0249999999999995,-47.97861408770729,
4.199999999999999,-49.9044991993423,
4.375,-51.759061993761165,
4.55,-53.541990937933015,
4.725,-55.2534870584662,
4.8999999999999995,-56.89418777847346,
5.074999999999999,-58.46509774176647,
5.25,-59.96752646061195,
5.425,-61.40303252275838,
5.6,-62.7733740207052,
5.7749999999999995,-64.08046481676163,
5.949999999999999,-65.32633622724298,
6.125,-66.51310369451838,
6.3,-67.64293801333633,
6.475,-68.71804068512674,
6.6499999999999995,-69.7406229884331,
6.824999999999999,-70.71288837327472,
7.0,-71.63701781042128,
7.175,-72.51515775194511,
7.35,-73.34941038591826,
7.5249999999999995,-74.14182589490532,
7.699999999999999,-74.89439645431976,
7.874999999999999,-75.60905173228151,
8.049999999999999,-76.28765567699189,
8.225,-76.93200440059698,
8.399999999999999,-77.54382498989717,
8.575,-78.12477509400584,
8.75,-78.67644315714848,
8.924999999999999,-79.20034918124574,
9.1,-79.69794591779387,
9.274999999999999,-80.17062040192262,
9.45,-80.61969575345886,
9.625,-81.04643318045838,
9.799999999999999,-81.45203413008402,
9.975,-81.83764254001815,
10.149999999999999,-82.20434715089333,
10.325,-82.55318384661439,
10.5,-82.88513799501396,
10.674999999999999,-83.20114676612316,
10.85,-83.5021014095312,
11.024999999999999,-83.78884947592312,
11.2,-84.06219697099776,
11.375,-84.32291043263355,
11.549999999999999,-84.57171892445159,
11.725,-84.80931594086465,
11.899999999999999,-85.03636122035148,
12.075,-85.25348246508896,
12.25,-85.46127696625143,
12.424999999999999,-85.66031313527446,
12.6,-85.85113194220712,
12.774999999999999,-86.03424826296548,
12.95,-86.210152137871,
13.125,-86.37930994432845,
13.299999999999999,-86.54216548688225,
13.475,-86.69914100820182,
13.649999999999999,-86.8506381247962,
13.825,-86.9970386914533,
14.0,-87.13870559854689,
14.174999999999999,-87.27598350646582,
14.35,-87.40919952149021,
14.524999999999999,-87.53866381748254,
14.7,-87.66467020777455,
14.874999999999998,-87.78749667161779,
15.049999999999999,-87.9074058395285,
15.225,-88.02464544179882,
15.399999999999999,-88.13944872436576,
15.575,-88.2520348361261,
