TY-COMPAS (Taiyo Yuden COMPonent Assist System): Program Version:14.5.0 Data Version:18.31.3 [2025/02/19]: 2025/02/24 10:08:25
DC Bias(dC/C%)
MSASU105AB5474KFNA01,,
DCB(dC/C)
Voltage[V],dC/C[%]
0.0,0.0
1.0,-1.356
2.0,-7.063
3.0,-14.243
4.0,-22.132
5.0,-30.939
6.0,-38.018
7.0,-43.814
8.0,-50.081
9.0,-55.593
10.0,-60.384
11.0,-63.889
12.0,-67.375
13.0,-69.938
14.0,-72.655
15.0,-74.938
16.0,-76.745
17.0,-78.592
18.0,-80.096
19.0,-81.407
20.0,-82.694
22.0,-84.661
24.0,-86.452
26.0,-87.759
28.0,-88.836
30.0,-89.764
32.0,-90.614
34.0,-91.256
36.0,-91.824
38.0,-92.313
40.0,-92.78
42.0,-93.163
44.0,-93.495
46.0,-93.815
48.0,-94.086
50.0,-94.337
