TY-COMPAS (Taiyo Yuden COMPonent Assist System): Program Version:14.5.0 Data Version:18.31.3 [2025/02/19]: 2025/02/24 10:04:55
DC Bias(dC/C%)
MSASU168BB5225KTNA01,,
DCB(dC/C)
Voltage[V],dC/C[%]
0.0,0.0
0.2,0.022
0.4,-0.09
0.6,-0.313
0.8,-0.709
1.0,-1.248
1.2,-1.895
1.4,-2.814
1.6,-3.425
1.8,-5.735
2.0,-6.062
2.2,-7.985
2.4,-9.493
2.6,-11.254
2.8,-12.973
3.0,-14.673
3.2,-16.619
3.4,-18.392
3.6,-19.975
3.8,-22.114
4.0,-23.924
4.2,-25.752
4.4,-27.561
4.6,-29.23
4.8,-30.981
5.0,-32.846
5.2,-34.498
5.4,-36.248
5.6,-37.701
5.8,-39.343
6.0,-40.982
6.2,-42.457
6.4,-43.976
6.6,-45.375
6.8,-46.808
7.0,-48.124
7.2,-49.429
7.4,-50.753
7.6,-51.836
7.8,-53.09
8.0,-54.236
8.2,-55.441
8.4,-56.49
8.6,-57.535
8.8,-58.561
9.0,-59.501
9.2,-60.492
9.4,-61.037
9.6,-62.305
9.8,-62.747
10.0,-63.992
10.2,-64.414
10.4,-65.589
10.6,-65.988
10.8,-67.047
11.0,-67.48
11.2,-68.459
11.4,-68.84
11.6,-69.777
11.8,-70.123
12.0,-71.004
12.2,-71.364
12.4,-72.175
12.6,-72.493
12.8,-73.238
13.0,-73.512
13.2,-74.272
13.4,-74.526
13.6,-75.212
13.8,-75.455
14.0,-76.121
14.2,-76.392
14.4,-76.995
14.6,-77.244
14.8,-77.797
15.0,-78.004
15.2,-78.567
15.4,-78.949
15.6,-79.125
15.8,-79.643
16.0,-79.845
16.2,-80.299
16.4,-80.478
16.6,-80.929
16.8,-81.106
17.0,-81.525
17.2,-81.817
17.4,-81.959
17.6,-82.348
17.8,-82.631
18.0,-82.9
18.2,-83.029
18.4,-83.381
18.6,-83.512
18.8,-83.83
19.0,-84.074
19.2,-84.309
19.4,-84.506
19.6,-84.729
19.8,-84.928
20.0,-85.128
21.0,-86.164
22.0,-86.936
23.0,-87.643
24.0,-88.272
25.0,-88.836
26.0,-89.36
27.0,-89.831
28.0,-90.263
29.0,-90.653
30.0,-91.019
31.0,-91.347
32.0,-91.655
33.0,-91.937
34.0,-92.201
35.0,-92.446
36.0,-92.674
37.0,-92.891
38.0,-93.088
39.0,-93.277
40.0,-93.45
41.0,-93.632
42.0,-93.773
43.0,-93.932
44.0,-94.058
45.0,-94.204
46.0,-94.329
47.0,-94.448
48.0,-94.561
49.0,-94.671
50.0,-94.774
