#ZRB18AR61E106ME01,,
#2025/02/24,,
#c_dcbias_capchange,,
#capchange  25.0degC  AC1Vrms,,
DC Bias[V],Cap. Change Rate[%],
0.0,0.0,
0.125,0.06632701638820127,
0.25,-0.12822750336184408,
0.375,-0.5667701910177625,
0.5,-1.2313527793588297,
0.625,-2.103335658676486,
0.75,-3.1637192375394085,
0.875,-4.3934400636139515,
1.0,-5.773630127398688,
1.125,-7.285839028882135,
1.25,-8.912219728197524,
1.375,-10.635679430602096,
1.5,-12.43999778570859,
1.625,-14.309915028531595,
1.75,-16.23119297673048,
1.875,-18.190651947298985,
2.0,-20.17618669005632,
2.125,-22.176764377063783,
2.25,-24.182407557432374,
2.375,-26.184164804769793,
2.5,-28.17407156628917,
2.625,-30.14510348248116,
2.75,-32.091124195940644,
2.875,-34.006829416857755,
3.0,-35.88768876815228,
3.125,-37.7298867007077,
3.25,-39.530263552482246,
3.375,-41.28625762691508,
3.5,-42.99584898735169,
3.625,-44.657505505633075,
3.75,-46.27013156427957,
3.875,-47.83301969208136,
4.0,-49.345805311243076,
4.125,-50.808424689136025,
4.25,-52.22107611766344,
4.375,-53.584184286655365,
4.5,-54.89836777300086,
4.625,-56.16440953286179,
4.75,-57.38323025884839,
4.875,-58.555864446125085,
5.0,-59.683438999832184,
5.125,-60.76715420985217,
5.25,-61.80826691684032,
5.375,-62.808075694721886,
5.5,-63.76790787879245,
5.625,-64.68910827450586,
5.75,-65.57302938946148,
5.875,-66.42102303956034,
6.0,-67.23443318941324,
6.125,-68.014589896557,
6.25,-68.76280423862224,
6.375,-69.4803641121041,
6.5,-70.16853080067746,
6.625,-70.82853621995069,
6.75,-71.46158075409488,
6.875,-72.06883160786069,
7.0,-72.65142160507207,
7.125,-73.21044837174543,
7.25,-73.74697384852297,
7.375,-74.26202408313647,
7.5,-74.7565892591435,
7.625,-75.23162392222766,
7.75,-75.68804736994534,
7.875,-76.12674417496447,
8.0,-76.54856481560184,
8.125,-76.95432639085344,
8.25,-77.34481340015434,
8.375,-77.72077857083133,
8.5,-78.08294371864541,
8.625,-78.43200062899282,
8.75,-78.7686119482619,
8.875,-79.09341207655407,
9.0,-79.40700805449193,
9.125,-79.70998043817274,
9.25,-80.00288415750062,
9.375,-80.28624935416279,
9.5,-80.56058219641729,
9.625,-80.8263656686444,
9.75,-81.08406033429684,
9.875,-81.33410507147151,
10.0,-81.5769177808298,
10.125,-81.8128960660243,
10.25,-82.04241788715042,
10.375,-82.26584218804452,
10.5,-82.48350949849633,
10.625,-82.69574251264382,
10.75,-82.90284664497105,
10.875,-83.10511056544681,
11.0,-83.30280671542084,
11.125,-83.49619180594158,
11.25,-83.68550730017897,
11.375,-83.87097988162921,
11.5,-84.05282190974954,
11.625,-84.23123186461886,
11.75,-84.40639478215562,
11.875,-84.5784826813391,
12.0,-84.74765498478253,
12.125,-84.91405893390288,
12.25,-85.07782999980938,
12.375,-85.23909229091198,
12.5,-85.39795895812088,
12.625,-85.55453259837374,
12.75,-85.70890565709117,
12.875,-85.86116083002983,
13.0,-86.0113714648625,
13.125,-86.15960196268982,
13.25,-86.30590817955849,
13.375,-86.45033782794127,
13.5,-86.59293087802331,
13.625,-86.73371995852982,
13.75,-86.87273075674067,
13.875,-87.0099824172472,
14.0,-87.14548793893577,
14.125,-87.27925456961859,
14.25,-87.41128419768107,
14.375,-87.54157374007951,
14.5,-87.67011552599504,
14.625,-87.7968976754375,
14.75,-87.92190447209278,
14.875,-88.0451167297208,
15.0,-88.16651215143116,
15.125,-88.28606568120267,
15.25,-88.40374984705903,
15.375,-88.51953509536568,
15.5,-88.63339011578553,
15.625,-88.74528215649855,
15.75,-88.85517732938035,
15.875,-88.96304090491736,
16.0,-89.06883759673927,
16.125,-89.17253183574324,
16.25,-89.27408803389544,
16.375,-89.37347083789928,
16.5,-89.47064537303363,
16.625,-89.56557747757732,
16.75,-89.65823392834255,
16.875,-89.748582657964,
17.0,-89.83659296469492,
17.125,-89.92223571557025,
17.25,-90.00548354391802,
17.375,-90.08631104228773,
17.5,-90.1646949519837,
17.625,-90.24061435048135,
17.75,-90.31405083809601,
17.875,-90.38498872537086,
18.0,-90.45341522272412,
18.125,-90.51932063397636,
18.25,-90.58269855544627,
18.375,-90.64354608236165,
18.5,-90.70186402438266,
18.625,-90.75765713207356,
18.75,-90.8109343361873,
18.875,-90.86170900163316,
19.0,-90.9099991980029,
19.125,-90.95582798849921,
19.25,-90.99922373906824,
19.375,-91.04022044946801,
19.5,-91.0788581079058,
19.625,-91.11518307074161,
19.75,-91.14924846858948,
19.875,-91.18111463992888,
20.0,-91.21084959307612,
20.125,-91.23852949704812,
20.25,-91.26423920145702,
20.375,-91.28807278512949,
20.5,-91.3101341325953,
20.625,-91.33053753697006,
20.75,-91.34940832702773,
20.875,-91.36688351542439,
21.0,-91.38311246408055,
21.125,-91.39825756164926,
21.25,-91.41249490678123,
21.375,-91.42601498953891,
21.5,-91.43902336179754,
21.625,-91.45174128581642,
21.75,-91.46440634834998,
21.875,-91.47727302569703,
22.0,-91.49061318299877,
22.125,-91.50471648886192,
22.25,-91.5198907240643,
22.375,-91.53646196070265,
22.5,-91.55477458572625,
22.625,-91.57519114041607,
22.75,-91.59809194507397,
22.875,-91.62387447607975,
23.0,-91.65295246066198,
23.125,-91.68575465330368,
23.25,-91.72272325681588,
23.375,-91.76431195095176,
23.5,-91.81098349208713,
23.625,-91.86320684926311,
23.75,-91.92145384484975,
23.875,-91.98619527259105,
24.0,-92.05789647187868,
24.125,-92.13701234515031,
24.25,-92.2239818153769,
24.375,-92.31922173286038,
24.5,-92.4231202551964,
24.625,-92.53602974120568,
24.75,-92.65825921889406,
24.875,-92.79006650894061,
25.0,-92.93165010851781,
