Manufacturer,MfrPartName,TChar,Capacitance,VoltageRatedDC,Volume,Package,C_Cv,V_Cv,C0,Cr,Vr,Cr_n,Er,Ce,EnergyDensity
TDK,C0402X5R1A102K020BC,X5R,1nF,10,1.76E-11,1005,[1e-09 1.00488e-09 1.0077e-09 9.99707e-10 9.85195e-10 9.68224e-10 9.39925e-10 8.94103e-10 8.33148e-10],[0 1 2 3.15 4 5 6.3 8 10],1.00E-09,8.33E-10,10,0.833148,4.61E-08,9.22E-10,2620.591312
TDK,C0402X5R1A222K020BC,X5R,2.2nF,10,1.76E-11,1005,[2.2e-09 2.23037e-09 2.23432e-09 2.20786e-09 2.1663e-09 2.11684e-09 2.03962e-09 1.91717e-09 1.75668e-09],[0 1 2 3.15 4 5 6.3 8 10],2.20E-09,1.76E-09,10,0.798490909,9.97E-08,1.99E-09,5667.105373
TDK,C0402X7R1A102K020BC,X7R,1nF,10,1.76E-11,1005,[1e-09 1.00488e-09 1.0077e-09 9.99707e-10 9.85195e-10 9.68224e-10 9.39925e-10 8.94103e-10 8.33148e-10],[0 1 2 3.15 4 5 6.3 8 10],1.00E-09,8.33E-10,10,0.833148,4.61E-08,9.22E-10,2620.591312
TDK,C0510X5R0J105M030BC,X5R,1μF,6.3,1.82E-10,204,[1e-06 9.52252e-07 8.61909e-07 7.88993e-07 7.04931e-07 5.90808e-07 4.83332e-07 3.80805e-07],[0 1.25 2 2.5 3.15 4 5 6.3],1.00E-06,3.81E-07,6.3,0.380805,1.17E-05,5.88E-07,64159.47844
TDK,C0510X5R1A474M030BC,X5R,470nF,10,1.82E-10,204,[4.7e-07 4.28251e-07 3.70297e-07 3.2846e-07 2.84804e-07 2.31662e-07 1.85201e-07 1.42116e-07 1.05373e-07 7.85861e-08],[0 1.25 2 2.5 3.15 4 5 6.3 8 10],4.70E-07,7.86E-08,10,0.167204468,7.79E-06,1.56E-07,42828.28076
TDK,C0510X5R1C104M030BC,X5R,100nF,16,1.82E-10,204,[1e-07 1.00579e-07 9.9218e-08 9.76092e-08 9.52792e-08 9.11359e-08 8.59023e-08 7.86387e-08 6.91231e-08 5.86914e-08 4.76057e-08 3.60966e-08],[0 1.25 2 2.5 3.15 4 5 6.3 8 10 12.5 16],1.00E-07,3.61E-08,16,0.360966,7.36E-06,5.75E-08,40415.99313
TDK,C0510X5R1C474M030BC,X5R,470nF,16,1.82E-10,204,[4.7e-07 4.28251e-07 3.70297e-07 3.2846e-07 2.84804e-07 2.31662e-07 1.85201e-07 1.42116e-07 1.05373e-07 7.85861e-08 5.89942e-08 4.39146e-08],[0 1.25 2 2.5 3.15 4 5 6.3 8 10 12.5 16],4.70E-07,4.39E-08,16,0.093435319,1.22E-05,9.54E-08,67093.6362
TDK,C0510X6S0G104M030BC,X6S,100nF,4,1.82E-10,204,[1e-07 8.77887e-08 7.74937e-08 6.38458e-08 5.38632e-08],[0 1 2 3.15 4],1.00E-07,5.39E-08,4,0.538632,5.56E-07,6.95E-08,3055.475325
TDK,C0510X6S0G105M030BC,X6S,1μF,4,1.82E-10,204,[1e-06 9.49651e-07 8.56412e-07 7.81455e-07 6.9538e-07 5.79649e-07],[0 1.25 2 2.5 3.15 4],1.00E-06,5.80E-07,4,0.579649,6.08E-06,7.61E-07,33429.27531
TDK,C0510X6S0G224M030BC,X6S,220nF,4,1.82E-10,204,[2.2e-07 2.12963e-07 2.01402e-07 1.80748e-07 1.66384e-07],[0 1 2 3.15 4],2.20E-07,1.66E-07,4,0.756290909,1.51E-06,1.89E-07,8306.491362
