part_number,spec_application,supplystatus_sort,capacitance_sort[pF],rvol,rvol_ac_list,opetemp-max,tcc,LWSize_mm_inch,size_thickness_max,tolerance,Type,caution,file_information,,
GRM32ER60E337ME05,CE|IE|AIC|MeI|ME,In Production,330000000,2.5,-,85,X5R,3225M/1210,2.8,±20%,General Purpose,,[n],[s],[t]
GRM32ER60G337ME05,CE|IE|AIC|MeI|ME,In Production,330000000,4,-,85,X5R,3225M/1210,2.8,±20%,General Purpose,,[n],[s],[t]
GRM32EC80E337ME05,CE|IE|AIC|MeI|ME,In Production,330000000,2.5,-,105,X6S,3225M/1210,2.8,±20%,General Purpose,,[n],[s],[t]
GRM31CR60E227ME11,CE|IE|AIC|MeI|ME,In Production,220000000,2.5,-,85,X5R,3216M/1206,1.9,±20%,General Purpose,,[n],[s],[t]
GRM31CR60G227ME11,CE|IE|AIC|MeI|ME,In Production,220000000,4,-,85,X5R,3216M/1206,1.9,±20%,General Purpose,,[n],[s],[t]
GRM32ER60G227ME05,CE|IE|AIC|MeI|ME,In Production,220000000,4,-,85,X5R,3225M/1210,2.8,±20%,General Purpose,,[n],[s],[t]
GRM31CR60J227ME11,CE|IE|AIC|MeI|ME,In Production,220000000,6.3,-,85,X5R,3216M/1206,1.9,±20%,General Purpose,derating1,[n],[s],[t]
GRM32ER60J227ME05,CE|IE|AIC|MeI|ME,In Production,220000000,6.3,-,85,X5R,3225M/1210,2.8,±20%,General Purpose,,[n],[s],[t]
GRM31CC80E227ME11,CE|IE|AIC|MeI|ME,In Production,220000000,2.5,-,105,X6S,3216M/1206,1.9,±20%,General Purpose,,[n],[s],[t]
GRM32EC80E227ME05,CE|IE|AIC|MeI|ME,In Production,220000000,2.5,-,105,X6S,3225M/1210,2.8,±20%,General Purpose,,[n],[s],[t]
GRM32EC80G227ME05,CE|IE|AIC|MeI|ME,In Production,220000000,4,-,105,X6S,3225M/1210,2.8,±20%,General Purpose,,[n],[s],[t]
GRM31CC80G227ME11,ME,In Production,220000000,4,-,105,X6S,3216M/1206,1.9,±20%,General Purpose,derating1|mobile,[n],[s],[t]
GRM32EC80J227ME01,CE|IE|AIC|MeI|ME,In Production,220000000,6.3,-,105,X6S,3225M/1210,2.85,±20%,General Purpose,,[n],[s],[t]
GCM32ED70E227ME36,AIC|APS|MeI,In Production,220000000,2.5,-,125,X7T,3225M/1210,2.85,±20%,Powertrain/Safety for Automotive [AEC-Q200],,[n],[s],[t]
GRM32ED70E227ME01,CE|IE|AIC|MeI|ME,In Production,220000000,2.5,-,125,X7T,3225M/1210,2.85,±20%,General Purpose,,[n],[s],[t]
GCM32ED70E227ME35,AIC|APS|MeI,In Production,220000000,2.5,-,125,X7T,3225M/1210,2.85,±20%,Powertrain/Safety for Automotive,,[n],[s],[t]
GRM32ED70G227ME01,CE|IE|AIC|MeI|ME,In Production,220000000,4,-,125,X7T,3225M/1210,2.85,±20%,General Purpose,derating1,[n],[s],[t]
GCM32EM8EA227ME08,AIC|APS|MeI,In Production,220000000,2.5,-,150,X8M,3225M/1210,2.85,±20%,Powertrain/Safety for Automotive [AEC-Q200],derating4,[n],[s],[t]
GRM21BR60E107ME15,CE|IE|AIC|MeI|ME,In Production,100000000,2.5,-,85,X5R,2012M/0805,1.45,±20%,General Purpose,,[n],[s],[t]
GRM31CR60G107MEA8,CE|IE|AIC|MeI|ME,In Production,100000000,4,-,85,X5R,3216M/1206,1.9,±20%,General Purpose,,[n],[s],[t]
GRM21BR60G107ME11,CE|IE|AIC|MeI|ME,In Production,100000000,4,-,85,X5R,2012M/0805,1.45,±20%,General Purpose,,[n],[s],[t]
GRT32ER60J107ME13,IE|AIC|MeI,In Production,100000000,6.3,-,85,X5R,3225M/1210,2.7,±20%,Infotainment for Automotive [AEC-Q200],derating1,[n],[s],[t]
GRM21BR60J107ME15,CE|IE|AIC|MeI|ME,In Production,100000000,6.3,-,85,X5R,2012M/0805,1.45,±20%,General Purpose,derating1,[n],[s],[t]
GRM31CR60J107MEA8,CE|IE|AIC|MeI|ME,In Production,100000000,6.3,-,85,X5R,3216M/1206,1.9,±20%,General Purpose,,[n],[s],[t]
GRM31CR60J107KEA8,CE|IE|AIC|MeI|ME,In Production,100000000,6.3,-,85,X5R,3216M/1206,1.9,±10%,General Purpose,,[n],[s],[t]
GRM31CR61A107MEA8,CE|IE|AIC|MeI|ME,In Production,100000000,10,-,85,X5R,3216M/1206,1.9,±20%,General Purpose,derating1,[n],[s],[t]
GRM32ER61A107ME20,CE|IE|AIC|MeI|ME,In Production,100000000,10,-,85,X5R,3225M/1210,2.7,±20%,General Purpose,derating1,[n],[s],[t]
GRM21BC80E107ME15,CE|IE|AIC|MeI|ME,In Production,100000000,2.5,-,105,X6S,2012M/0805,1.45,±20%,General Purpose,,[n],[s],[t]
GRM21BC80G107ME15,CE|IE|AIC|MeI|ME,In Production,100000000,4,-,105,X6S,2012M/0805,1.45,±20%,General Purpose,derating1,[n],[s],[t]
GRM32EC80J107ME20,CE|IE|AIC|MeI|ME,In Production,100000000,6.3,-,105,X6S,3225M/1210,2.7,±20%,General Purpose,,[n],[s],[t]
GRM31CD80G107MEA8,CE|IE|AIC|MeI|ME,In Production,100000000,4,-,105,X6T,3216M/1206,1.9,±20%,General Purpose,,[n],[s],[t]
GRM31CD80J107MEA8,CE|IE|AIC|MeI|ME,In Production,100000000,6.3,-,105,X6T,3216M/1206,1.9,±20%,General Purpose,derating1,[n],[s],[t]
GRT32EC70G107ME13,IE|AIC|MeI,In Production,100000000,4,-,125,X7S,3225M/1210,2.7,±20%,Infotainment for Automotive [AEC-Q200],derating1,[n],[s],[t]
GRM32EC70G107ME15,CE|IE|AIC|MeI|ME,In Production,100000000,4,-,125,X7S,3225M/1210,2.7,±20%,General Purpose,,[n],[s],[t]
GRT32EC70J107ME13,IE|AIC|MeI,In Production,100000000,6.3,-,125,X7S,3225M/1210,2.7,±20%,Infotainment for Automotive [AEC-Q200],derating1,[n],[s],[t]
GRM32EC70J107ME15,CE|IE|AIC|MeI|ME,In Production,100000000,6.3,-,125,X7S,3225M/1210,2.7,±20%,General Purpose,derating1,[n],[s],[t]
KRM55WC71E107MH13,CE|IE|MeI|ME,In Production,100000000,25,-,125,X7S,5750M/2220,6.7,±20%,Metal Terminal General,,[n],[s],[t]
KCM55WC71E107MH13,AIC|APS|MeI,In Production,100000000,25,-,125,X7S,5750M/2220,6.7,±20%,Metal terminal/ Automotive [AEC-Q200],,[n],[s],[t]
GCM31CD70E107ME36,AIC|APS|MeI,In Production,100000000,2.5,-,125,X7T,3216M/1206,1.9,±20%,Powertrain/Safety for Automotive [AEC-Q200],,[n],[s],[t]
GCM31CD70E107ME35,AIC|APS|MeI,In Production,100000000,2.5,-,125,X7T,3216M/1206,1.9,±20%,Powertrain/Safety for Automotive,,[n],[s],[t]
GCJ32ED70E107ME02,AIC|APS|MeI,In Production,100000000,2.5,-,125,X7T,3225M/1210,2.85,±20%,Resin external electrode for Powertrain/safety for Automotive [AEC-Q200],,[n],[s],[t]
GRM21BD70E107ME01,CE|IE|AIC|MeI|ME,In Production,100000000,2.5,-,125,X7T,2012M/0805,1.45,±20%,General Purpose,,[n],[s],[t]
GCM32ED70E107ME36,AIC|APS|MeI,In Production,100000000,2.5,-,125,X7T,3225M/1210,2.85,±20%,Powertrain/Safety for Automotive [AEC-Q200],,[n],[s],[t]
GCM31CD70G107ME36,AIC|APS|MeI,In Production,100000000,4,-,125,X7T,3216M/1206,1.9,±20%,Powertrain/Safety for Automotive [AEC-Q200],derating7,[n],[s],[t]
GRM32EE70G107ME19,CE|IE|AIC|MeI|ME,In Production,100000000,4,-,125,X7U,3225M/1210,2.7,±20%,General Purpose,,[n],[s],[t]
GRM32EE70J107ME15,CE|IE|AIC|MeI|ME,In Production,100000000,6.3,-,125,X7U,3225M/1210,2.7,±20%,General Purpose,derating1,[n],[s],[t]
GCM31CN8EA107ME08,AIC|APS|MeI,In Production,100000000,2.5,-,150,X8N,3216M/1206,1.9,±20%,Powertrain/Safety for Automotive [AEC-Q200],derating4,[n],[s],[t]
KCM55WR71E686MH01,AIC|APS|MeI,In Production,68000000,25,-,125,X7R,5750M/2220,6.7,±20%,Metal terminal/ Automotive [AEC-Q200],,[n],[s],[t]
KRM55WR71E686MH01,CE|IE|MeI|ME,In Production,68000000,25,-,125,X7R,5750M/2220,6.7,±20%,Metal Terminal General,,[n],[s],[t]
